Farm_Area,Fertilizer_Used,Pesticide_Used,Water_Usage,Crop_Type,Irrigation_Type,Soil_Type,Season,Yield
19.352465823520763,364.17277130888533,13.330981797737884,5671.7360662259625,Cotton,Flood,Sandy,Kharif,13.935806955372037
47.58500101408589,291.2433648548542,29.385542632026116,5312.636898667579,Cotton,Drip,Loamy,Rabi,14.29618312974208
36.86770314875885,189.28742732884749,44.282562614438376,1230.7785922579212,Cotton,Flood,Loamy,Kharif,10.705380397268737
30.334265725654795,416.2077588681269,37.95011988843025,4071.2304486354074,Rice,Manual,Clay,Zaid,13.413511897506002
8.64491338167939,358.1290276492457,41.295251653765234,4421.760569072713,Rice,Flood,Clay,Kharif,10.133389570514922
8.64373149647393,123.17762270520109,34.64525150198228,4589.405028072104,Rice,Drip,Loamy,Zaid,7.564665975465661
3.8460969962417737,459.9172330222291,36.15244540330336,6221.551323045991,Cotton,Drip,Loamy,Kharif,12.998141765052441
43.44263114297183,420.14175931542604,43.213804320439365,5802.422920541906,Rice,Manual,Loamy,Rabi,16.097432923493983
30.45463557541723,477.4099609813658,16.235060398663368,6471.145835141002,Wheat,Manual,Sandy,Kharif,15.768783764060277
35.69555631200623,376.573778774762,27.02412336394132,7883.949353879155,Wheat,Flood,Sandy,Kharif,17.998739925808085
2.00864022049432,326.03683817110544,14.954424881882101,8316.871648444841,Rice,Flood,Sandy,Kharif,13.732011871130974
48.52558275593772,238.2093663307785,49.445060359849116,7463.10768603845,Wheat,Drip,Loamy,Rabi,15.49723413543893
41.78968939922066,469.72781750930596,47.4826702858976,9599.713263594413,Wheat,Manual,Clay,Kharif,19.83977373931191
11.404616423235531,439.72875027518376,6.774206511582765,1164.0932440872548,Cotton,Manual,Loamy,Rabi,12.635986984958732
9.90942339314793,70.34840154778523,36.75088276320598,2762.0018711519147,Rice,Manual,Sandy,Zaid,5.740944958442091
9.986820982818257,61.8651385237634,46.63617428370496,1068.065874803279,Rice,Flood,Sandy,Kharif,3.1286736568370124
15.907869905017348,219.4085150951223,13.12589053073001,6827.272427391427,Cotton,Manual,Loamy,Rabi,11.23419901174438
